demand
1
1.012
1.024
1.036
1.049
1.061
1.074
1.087
1.1
1.113
1.127
1.133
1.14
1.147
1.153
1.161
1.168
1.175
1.181
1.189
1.195
1.203
1.21
1.218
1.225
1.232
1.239
1.247
1.254
1.262
1.269
1.277677419
1.286354839
1.295032258
1.303709677
1.312387097
1.321064516
1.329741935
1.338419355
1.347096774
1.355774194
1.364451613
1.373129032
1.381806452
1.390483871
1.39916129
1.40783871
1.416516129
1.425193548
1.433870968
1.442548387
1.451225806
1.459903226
1.468580645
1.477258065
1.485935484
1.494612903
1.503290323
1.511967742
1.520645161
1.529322581
1.538
1.546677419
1.555354839
1.564032258
1.572709677
1.581387097
1.590064516
1.598741935
1.607419355
