agent_id,unit_type,num_units
201,Coal,9
201,NGCC,27
201,NGCT,23
201,ConventionalNuclear,4
201,Wind,1
202,Coal,8
202,NGCC,39
202,NGCT,69
202,ConventionalNuclear,6
202,Solar,6
203,Coal,5
203,NGCC,17
203,NGCT,9
203,ConventionalNuclear,3
204,Wind,30
204,Solar,10
205,NGCC,20
205,NGCT,30
205,Wind,10
206,Coal,9
206,NGCC,3
206,NGCT,40
207,Solar,6
208,Wind,238
208,Solar,61
208,NGCC,121
208,NGCT,4
