demand
1
1.006
1.012
1.018
1.024
1.03
1.036
1.0425
1.049
1.055
1.061
1.0675
1.074
1.0805
1.087
1.0935
1.1
1.1065
1.113
1.12
1.127
1.13
1.133
1.1365
1.14
1.1435
1.147
1.15
1.153
1.157
1.161
1.1645
1.168
1.1715
1.175
1.178
1.181
1.185
1.189
1.192
1.195
1.199
1.203
1.2065
1.21
1.214
1.218
1.2215
1.225
1.2285
1.232
1.2355
1.239
1.243
1.247
1.2505
1.254
1.258
1.262
1.2655
1.269
